pattern_name,TP,FP,FN,precision,recall,F1,tolerance_s,confidence_thr,dataset,level,MAE,RMSE,avg_confidence
Regional_TripleAlert_85,17,9,24,0.6538461538461539,0.4146341463414634,0.5074626865671641,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
Regional_TripleAlert_95,17,9,24,0.6538461538461539,0.4146341463414634,0.5074626865671641,0.5,0.85,drop_10,distributed_complex,1.5102081250048101e-18,4.610512088916784e-17,1.0
63rd_HighTurbidity_65,116,34,55,0.7733333333333333,0.6783625730994152,0.7227414330218069,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_HighTurbidity_75,116,34,55,0.7733333333333333,0.6783625730994152,0.7227414330218069,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_HighTurbidity_85,116,34,55,0.7733333333333333,0.6783625730994152,0.7227414330218069,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_HighTurbidity_95,116,34,55,0.7733333333333333,0.6783625730994152,0.7227414330218069,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_HighWavePeriod_65,580,185,385,0.7581699346405228,0.6010362694300518,0.6705202312138729,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_HighWavePeriod_75,580,185,385,0.7581699346405228,0.6010362694300518,0.6705202312138729,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_HighWavePeriod_85,580,185,385,0.7581699346405228,0.6010362694300518,0.6705202312138729,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_HighWavePeriod_95,580,185,385,0.7581699346405228,0.6010362694300518,0.6705202312138729,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_LocalAlert_65,72,36,47,0.6666666666666666,0.6050420168067226,0.6343612334801761,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_LocalAlert_75,72,36,47,0.6666666666666666,0.6050420168067226,0.6343612334801761,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_LocalAlert_85,72,36,47,0.6666666666666666,0.6050420168067226,0.6343612334801761,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
63rd_LocalAlert_95,72,36,47,0.6666666666666666,0.6050420168067226,0.6343612334801761,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
CalumetTo63rd_AlertSpread_65,13,10,16,0.5652173913043478,0.4482758620689655,0.4999999999999999,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
CalumetTo63rd_AlertSpread_75,13,10,16,0.5652173913043478,0.4482758620689655,0.4999999999999999,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
CalumetTo63rd_AlertSpread_85,13,10,16,0.5652173913043478,0.4482758620689655,0.4999999999999999,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
CalumetTo63rd_AlertSpread_95,13,10,16,0.5652173913043478,0.4482758620689655,0.4999999999999999,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_HighTurbidity_65,18,45,63,0.2857142857142857,0.2222222222222222,0.25,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_HighTurbidity_75,18,45,63,0.2857142857142857,0.2222222222222222,0.25,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_HighTurbidity_85,18,45,63,0.2857142857142857,0.2222222222222222,0.25,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_HighTurbidity_95,18,45,63,0.2857142857142857,0.2222222222222222,0.25,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_LocalAlert_65,19,36,62,0.34545454545454546,0.2345679012345679,0.27941176470588236,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_LocalAlert_75,19,36,62,0.34545454545454546,0.2345679012345679,0.27941176470588236,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_LocalAlert_85,19,36,62,0.34545454545454546,0.2345679012345679,0.27941176470588236,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_LocalAlert_95,19,36,62,0.34545454545454546,0.2345679012345679,0.27941176470588236,0.5,0.85,drop_20,local_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_LowWaterTemp_65,1888,96,601,0.9516129032258065,0.758537565287264,0.8441761681198301,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_LowWaterTemp_75,1888,96,601,0.9516129032258065,0.758537565287264,0.8441761681198301,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_LowWaterTemp_85,1888,96,601,0.9516129032258065,0.758537565287264,0.8441761681198301,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Calumet_LowWaterTemp_95,1888,96,601,0.9516129032258065,0.758537565287264,0.8441761681198301,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
MontroseToCalumet_AlertSpread_65,14,3,15,0.8235294117647058,0.4827586206896552,0.608695652173913,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
MontroseToCalumet_AlertSpread_75,14,3,15,0.8235294117647058,0.4827586206896552,0.608695652173913,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
MontroseToCalumet_AlertSpread_85,14,3,15,0.8235294117647058,0.4827586206896552,0.608695652173913,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
MontroseToCalumet_AlertSpread_95,14,3,15,0.8235294117647058,0.4827586206896552,0.608695652173913,0.5,0.85,drop_20,distributed_complex,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_HighTurbidity_65,155,26,75,0.856353591160221,0.6739130434782609,0.754257907542579,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_HighTurbidity_75,155,26,75,0.856353591160221,0.6739130434782609,0.754257907542579,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_HighTurbidity_85,155,26,75,0.856353591160221,0.6739130434782609,0.754257907542579,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_HighTurbidity_95,155,26,75,0.856353591160221,0.6739130434782609,0.754257907542579,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_HighWave_65,161,79,130,0.6708333333333333,0.5532646048109966,0.6064030131826743,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_HighWave_75,161,79,130,0.6708333333333333,0.5532646048109966,0.6064030131826743,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_HighWave_85,161,79,130,0.6708333333333333,0.5532646048109966,0.6064030131826743,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
Montrose_HighWave_95,161,79,130,0.6708333333333333,0.5532646048109966,0.6064030131826743,0.5,0.85,drop_20,atomic,1.690763120477503e-18,4.9207103367511915e-17,1.0
