attribute,mode,Q,R,rmse,norm_rmse
Wave Period,position,0.01,0.1,1.5376989822507916,0.874921810105599
Wave Period,position,0.01,0.2,1.5752628250969882,0.8962949304346572
Wave Period,position,0.05,0.01,1.4563965387247322,0.8286622483338226
Wave Period,position,0.05,0.02,1.4561458558857108,0.8285196145115917
Wave Period,position,0.05,0.05,1.4612537830118921,0.8314259290105351
Wave Period,position,0.05,0.1,1.4734798624599381,0.8383823383498467
Wave Period,position,0.05,0.2,1.495547079337371,0.8509381698599489
Wave Period,position,0.1,0.01,1.457487613156237,0.829283049171692
Wave Period,position,0.1,0.02,1.4564116937415494,0.8286708712534571
Wave Period,position,0.1,0.05,1.456631817023334,0.8287961172621807
Wave Period,position,0.1,0.1,1.4613412806896726,0.831475713544119
Wave Period,position,0.1,0.2,1.473684776129373,0.8384989303751044
Wave Period,position,0.2,0.01,1.458416272370968,0.82981143880484
Wave Period,position,0.2,0.02,1.4575029362812117,0.8292917677417073
Wave Period,position,0.2,0.05,1.4562000651394396,0.828550458557757
Wave Period,position,0.2,0.1,1.4567165696229332,0.8288443398978905
Wave Period,position,0.2,0.2,1.4615330752957592,0.8315848410689874
Wave Period,position,0.5,0.01,1.459133902550661,0.8302197568846793
Wave Period,position,0.5,0.02,1.458656304779572,0.8299480127324057
Wave Period,position,0.5,0.05,1.45755085798039,0.8293190342875478
Wave Period,position,0.5,0.1,1.4565438667020871,0.8287460751829748
Wave Period,position,0.5,0.2,1.4564631650306978,0.8287001574492535
Wave Period,position,1.0,0.01,1.4594039508544887,0.8303734092922884
Wave Period,position,1.0,0.02,1.459149473235509,0.8302286163116082
Wave Period,position,1.0,0.05,1.4584800727221146,0.8298477400051106
Wave Period,position,1.0,0.1,1.4576364107445612,0.829367712201855
Wave Period,position,1.0,0.2,1.456729823930754,0.8288518813498419
Wave Period,position,2.0,0.01,1.459545199117661,0.8304537768983773
Wave Period,position,2.0,0.02,1.4594195618894603,0.830382291677679
Wave Period,position,2.0,0.05,1.4590690492184677,0.8301828565579906
Wave Period,position,2.0,0.1,1.4585663032170342,0.8298968035354714
Wave Period,position,2.0,0.2,1.4578238947032416,0.8294743870493952
Wave Period,velocity,0.01,0.01,1.7903054567610293,1.0186501447627425
Wave Period,velocity,0.01,0.02,1.7659360140963176,1.0047843900645994
Wave Period,velocity,0.01,0.05,1.7289418147640156,0.983735386184888
Wave Period,velocity,0.01,0.1,1.7010251116277342,0.9678513069716572
Wave Period,velocity,0.01,0.2,1.6786699163070071,0.9551316211417001
Wave Period,velocity,0.05,0.01,1.8240277495777937,1.0378374953513265
Wave Period,velocity,0.05,0.02,1.8126533043403283,1.0313656498659745
