# Logger: PatternLogger | Started: Tue Dec 30 12:10:48 EST 2025
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2025-12-30 12:11:55.608,67.206,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[fc4b09d8-fe95-4751-9b35-9b9f0c6f0083];[7521effa-8910-4f63-a443-8fe54be34e17];[7a997fad-3c3a-4014-92b3-487c94ccb595]]
2025-12-30 12:11:55.645,67.243,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[9528cf3b-5c21-4978-a7cb-9ce985f849be]]
2025-12-30 12:11:56.491,68.089,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[ea331a99-ad07-44b1-867f-a54e3d287b41]]
2025-12-30 12:11:56.491,68.089,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[9528cf3b-5c21-4978-a7cb-9ce985f849be];[ea331a99-ad07-44b1-867f-a54e3d287b41]]
2025-12-30 12:11:56.633,68.231,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[7b93b174-6c6a-4294-8ace-5ae0ed73494c]]
2025-12-30 12:11:57.479,69.077,EngineOverheat,atomic,[EngineOverheat],[0.9879],1,1,0.9879,[engine-temp-1],[[cacdec36-4026-4e96-a8d2-fe915bac4695]]
2025-12-30 12:11:57.480,69.078,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;0.9879],3,3,0.9879,[engine-temp-1;speed-1],[[9528cf3b-5c21-4978-a7cb-9ce985f849be];[ea331a99-ad07-44b1-867f-a54e3d287b41];[cacdec36-4026-4e96-a8d2-fe915bac4695]]
2025-12-30 12:11:57.480,69.078,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;0.9879],2,2,0.9939,[engine-temp-1;speed-1],[[7b93b174-6c6a-4294-8ace-5ae0ed73494c];[cacdec36-4026-4e96-a8d2-fe915bac4695]]
2025-12-30 12:11:57.634,69.232,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[e8417f18-e1e7-4129-9679-4fed097dc194]]
2025-12-30 12:11:58.280,69.878,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[84d1ed1a-5db7-466d-bef8-55e9ba445d47]]
2025-12-30 12:11:58.281,69.879,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[0.9939;1.0000],3,3,0.9939,[engine-temp-1;speed-1],[[7b93b174-6c6a-4294-8ace-5ae0ed73494c];[cacdec36-4026-4e96-a8d2-fe915bac4695];[84d1ed1a-5db7-466d-bef8-55e9ba445d47]]
2025-12-30 12:11:58.281,69.879,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[e8417f18-e1e7-4129-9679-4fed097dc194];[84d1ed1a-5db7-466d-bef8-55e9ba445d47]]
2025-12-30 12:11:58.625,70.223,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[093e6006-6064-44ba-9cfc-6cf1a6b83c77]]
2025-12-30 12:11:59.164,70.762,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[d88598f1-ccf5-4ade-9b88-4a5b96d64d0d]]
2025-12-30 12:11:59.165,70.763,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[e8417f18-e1e7-4129-9679-4fed097dc194];[84d1ed1a-5db7-466d-bef8-55e9ba445d47];[d88598f1-ccf5-4ade-9b88-4a5b96d64d0d]]
