# Started Tue Oct 21 20:05:55 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstructed_confidence,reconstruction_method,confidence,reconstruction_flag,status,source,extras,reconstruction_time
Montrose_Beach_Wave_Height,MontroseBeach201507050300_Wave_Height,,,1436065200,,,0.13602423936961194,missing,0.13602423936961194,0.8608147743719499,KalmanFilter,0.8608147742287183,True,reconstructed,,{'ground_truth': 0.101},1761091626.9315767
Montrose_Beach_Turbidity,MontroseBeach201507050300_Turbidity,None,1761091626.9305665,1436065200,float,None,0.94,source,0.9401658529895363,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.94},1761091626.9325666
Montrose_Beach_Wave_Period,MontroseBeach201507050300_Wave_Period,None,1761091626.9325666,1436065200,float,None,5.0,source,5.289963865755977,0.5300106259252373,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 5.0},1761091626.9325666
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201507050400_Water_Temperature,,,1436068800,,,20.900995061397346,missing,20.900995061397346,0.8326398608830393,KalmanFilter,0.8326398607790886,True,reconstructed,,{'ground_truth': 20.3},1761091626.9861698
Calumet_Beach_Water_Temperature,CalumetBeach201507050400_Water_Temperature,None,1761091626.9851172,1436068800,float,None,20.4,source,20.40124750926788,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 20.4},1761091626.9870949
63rd_Street_Beach_Turbidity,63rdStreetBeach201507050400_Turbidity,,,1436068800,,,1.376849092775282,missing,1.376849092775282,0.36787944391914973,KalmanFilter,0.36787944300173336,True,reconstructed,,{'ground_truth': 1.31},1761091626.9870949
Calumet_Beach_Turbidity,CalumetBeach201507050400_Turbidity,None,1761091626.9851172,1436068800,float,None,1.43,source,1.4300136624042357,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.43},1761091626.9870949
63rd_Street_Beach_Wave_Height,63rdStreetBeach201507050400_Wave_Height,,,1436068800,,,0.10170455975005871,missing,0.10170455975005871,0.8608147743719499,KalmanFilter,0.8608147742287183,True,reconstructed,,{'ground_truth': 0.088},1761091626.9880955
Calumet_Beach_Wave_Height,CalumetBeach201507050400_Wave_Height,None,1761091626.9851172,1436068800,float,None,0.095,source,0.09498046026067179,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.095},1761091626.9880955
Montrose_Beach_Water_Temperature,MontroseBeach201507050400_Water_Temperature,,,1436068800,,,18.801490135387162,missing,18.801490135387162,0.8121071306240759,KalmanFilter,0.812107130542946,True,reconstructed,,{'ground_truth': 18.2},1761091626.9890954
Calumet_Beach_Wave_Period,CalumetBeach201507050400_Wave_Period,None,1761091626.9861698,1436068800,float,None,2.0,source,2.2337572269988475,0.7605413309212691,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 2.0},1761091626.9890954
Montrose_Beach_Wave_Period,MontroseBeach201507050400_Wave_Period,,,1436068800,,,5.289963865755977,missing,5.289963865755977,0.47957346060007394,KalmanFilter,0.4795734462938145,True,reconstructed,,{'ground_truth': 4.0},1761091626.9900954
63rd_Street_Beach_Wave_Period,63rdStreetBeach201507050400_Wave_Period,None,1761091626.9880955,1436068800,float,None,5.0,source,5.186754988149831,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 5.0},1761091626.9910946
Montrose_Beach_Turbidity,MontroseBeach201507050400_Turbidity,None,1761091626.9890954,1436068800,float,None,0.83,source,0.8305453888760778,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.83},1761091626.9910946
Montrose_Beach_Wave_Height,MontroseBeach201507050400_Wave_Height,None,1761091626.9890954,1436068800,float,None,0.096,source,0.09604990584343429,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.096},1761091626.9920952
Calumet_Beach_Water_Temperature,CalumetBeach201507050500_Water_Temperature,,,1436072400,,,20.40124750926788,missing,20.40124750926788,0.9512294249739685,KalmanFilter,0.951229424500714,True,reconstructed,,{'ground_truth': 20.3},1761091627.0477962
Montrose_Beach_Water_Temperature,MontroseBeach201507050500_Water_Temperature,,,1436072400,,,18.801490135387162,missing,18.801490135387162,0.796042158302298,KalmanFilter,0.7960421582360161,True,reconstructed,,{'ground_truth': 18.2},1761091627.0487957
Calumet_Beach_Turbidity,CalumetBeach201507050500_Turbidity,None,1761091627.0477962,1436072400,float,None,1.28,source,1.2807426600939833,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 1.28},1761091627.0497952
Calumet_Beach_Wave_Height,CalumetBeach201507050500_Wave_Height,None,1761091627.0477962,1436072400,float,None,0.08,source,0.08007416251193475,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.08},1761091627.0497952
63rd_Street_Beach_Water_Temperature,63rdStreetBeach201507050500_Water_Temperature,,,1436072400,,,20.900995061397346,missing,20.900995061397346,0.8121071306240756,KalmanFilter,0.8121071305429457,True,reconstructed,,{'ground_truth': 20.2},1761091627.050799
63rd_Street_Beach_Turbidity,63rdStreetBeach201507050500_Turbidity,,,1436072400,,,1.376849092775282,missing,1.376849092775282,0.22340717806674254,KalmanFilter,0.22340717769501373,True,reconstructed,,{'ground_truth': 1.36},1761091627.050799
Calumet_Beach_Wave_Period,CalumetBeach201507050500_Wave_Period,None,1761091627.0487957,1436072400,float,None,3.0,source,2.820365444173984,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 3.0},1761091627.0517943
Montrose_Beach_Turbidity,MontroseBeach201507050500_Turbidity,None,1761091627.0497952,1436072400,float,None,0.71,source,0.7105967739766094,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.71},1761091627.0517943
Montrose_Beach_Wave_Height,MontroseBeach201507050500_Wave_Height,None,1761091627.0497952,1436072400,float,None,0.099,source,0.09898539548333268,1.0,KalmanFilter,1.0,False,reconstructed,dataset,{'ground_truth': 0.099},1761091627.0527945
